tweet_id,analysis_text,historical_reply,human_intent,human_reply_quality,human_action,human_notes,intent,similarity_score,decision,reason,final_reply,evidence_reply,evidence_tweet_id
312965,No info since yesterday. Really 😒 https://t.co/D1u8Bfwxyj,@125313 Reach us here: https://t.co/JzP7hlRCV9 so we can check into this for you.^CD,customer_service,Acceptable,ESCALATE,Customer has not received an update and needs support follow-up.,other,0.3644,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"Apologies for the delay, did the agent ask you to wait a certain amount of time?",2074036
179060,16th of September with Amazon. Received the code Monday. Input it to PSN last night. Was told it redeemed. Are the codes broken?,@158225 Sorry to hear this. Please get in touch with EA for assistance with this. ^RL,product_issue,Poor,ESCALATE,Customer reports a code redemption problem and needs investigation.,order,0.3192,ESCALATE,Historical similarity is below safety threshold; Intent mismatch with historical example,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Have you tried contacting the seller to request cancellation? We'd like to help!,2679461
511712,i cancelled an order over 10 days ago but still havent got a refund. How long does it take?,"@237640 That's a bit unusual! When you place an order on Amazon, we may authorize your payment when your order is placed, but we don't charge you until the item ships. Was this order placed with one of our third-party sellers? You can check here: https://t.co/Y5jpI9gRhE ^BN",refund_payment,Poor,ESCALATE,Customer is waiting for a refund after cancelling an order.,order,0.4407,ESCALATE,Historical similarity is below safety threshold; Intent mismatch with historical example,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"Refunds usually take about 3-5 days to process, depending on the policies of your bank.",2861994
428992,@115851 @115850 making fool how long you will loot Indian customer???,@158494 I understand your concern. Could you confirm if you've shared your details in the link provided earlier? ^HD,customer_service,Poor,ESCALATE,Customer expresses a serious service complaint and needs support attention.,other,0.31,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"As this is social media, we will be unable to connect with you or access your details from here. Kindly fill in your details with the link provided earlier and we'll get in touch with you soon. Appreciate your understanding. - Pooja",531501
1973387,Request you to kindly deliver my product between 2 - 5 pm order # 408-3487683-8821161. It’s request else I’ll hv 2 cancel,@539494 Please don't provide your order details as we consider it personal information. Our twitter page is visible to public.(2/2) ^CB,delivery,Poor,ESCALATE,Customer requests a specific delivery time and may cancel if not possible.,order,0.3884,ESCALATE,Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"Please don't provide your order details, as we consider them to be personal information. Our page is visible to the public.",2216633
2483964,"Bought Motog5s Plus and got ""Up to 120 GB additional data from Idea"" from Amazon. Tried Availing this offer but got ""Invalid Invoice, details not found "" error. Today is Last day to avail. Pls. help @115850 @idea_cares https://t.co/wEDZeV8Bqa",@637647 I'm sorry that you are unable to claim the additional data. Kindly reach out to our support team here: https://t.co/vlvfJr4nN9 and we'll assist you accordingly. ^GD,product_issue,Acceptable,ESCALATE,Customer cannot claim an advertised product offer due to an invoice error.,customer_service,0.2169,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold; Intent mismatch with historical example,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"Hi, what reason was given for the order being canceled please? What is your order status now: Has it been cancelled or is it still active? - Tara S",528208
292893,I hv submitted my prblm in ur email support team. They hv given reply to me and promised to me give cash back 15%. Ok so i m waiting.,@158512 Could you please confirm if you've shared your details in the link provided earlier? ^AG,refund_payment,Acceptable,ESCALATE,Customer is waiting for promised cashback/refund.,customer_service,0.2724,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold; Intent mismatch with historical example,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,You are most certainly welcome. Thanks for keeping us posted.,2490635
686676,Que ponía que mi paquete llegaba antes de las 9 de la mañana y no ha llegado aún :(,"@283958 Entiendo, ¿nos podrías indicar cuál es la fecha de entrega estimada que has recibido en el correo electrónico? ^KA",delivery,Acceptable,ESCALATE,Package has not arrived by the promised delivery time.,other,0.4133,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold; Intent mismatch with historical example,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"Hola, lamentamos el inconveniente.¿Has podido contactar a la compañía de transporte que está a cargo de la entrega del paquete?",686752
2857269,"Si se tiene que dirigir a alguna persona en especial, les pido POR FAVOR me digan con quién, para que el operador sepa.","@794123 Encontrarás los detalles de contacto en el siguiente enlace, ellos te guiarán durante la llamada: https://t.co/mEKBC5rf63 ^HC",customer_service,Good,AUTO_HANDLE,Customer asks who they should contact for assistance.,other,0.3782,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"Olá Tati, estamos verificando seu DM, logo mais te enviamos uma resposta.",2176601
2671808,Thankyou amazon! I’m due the 6th of January so thought it’s best I get organised in case baby decides to make an early appearance 👶🏽❣️,@752321 Aw exciting! We would love to send an early Xmas pressie from us :) can you provide info here: https://t.co/tkLCr7DNil ^NV,other,Good,AUTO_HANDLE,Positive/non-support message with no specific customer issue.,other,0.263,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,You're welcome. Do let us know for any further assistance.,2808989
204914,"Yes. Tracking stops yesterday, package due today. Guaranteed delivery date.","@164537 Typically, late orders arrive the next business day. If yours doesn't give us a call: https://t.co/hApLpMlfHN ^EP",delivery,Acceptable,ESCALATE,Tracking stopped and guaranteed delivery date has passed.,delivery,0.286,ESCALATE,Historical similarity is below safety threshold; Retrieved historical reply is incomplete or unsafe,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Has there been any recent tracking updates here: Which carrier is assigned to your delivery?,639542
234564,"Yes, it arrived at two incorrect carrier facilities and it said the package may be here Friday. Afraid it’s going to get stuck at my dorm!","@171848 We might be able to have the delivery re-routed, Slyvie. Please phone us here: https://t.co/hApLpMlfHN and we'll discuss. ^LB",delivery,Good,ESCALATE,Package is routed through incorrect facilities and may be delayed.,other,0.2986,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,That's great to hear! Let us know if anything else comes up!,2621007
1387352,I went to this link but I did not got contact number...I have query to ask...please give the customer care number,"@442807 Once you click on the link, you will have an option to enter your number and reach us via the phone, Aravind. ^KS",customer_service,Good,AUTO_HANDLE,Customer asks for the customer care contact number.,customer_service,0.2422,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold; Intent mismatch with historical example; Retrieved historical reply is incomplete or unsafe,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"Please don't provide your order details, we consider it personal information. Our Twitter page is visible to public. (2/2)",19447
710642,After confirm my oder the estimate date is 16th Oct which take more than 1week. If received b4 Friday that it really use ful.,@246259 before then. Please wait until the estimated delivery date and I'm positive your order will be delivered. 2/2 ^SH,delivery,Acceptable,AUTO_HANDLE,Customer is concerned about the estimated delivery date.,other,0.2138,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"We value your time. Kindly, let us know if you've replied to the correspondence you received from us?",1387070
581926,"Hi , It's me again! so regarding my shipment which was in the custom , today i checked with DHL and they said it's not shipped yet which is weird! and i went back to the tracking page and i found this ""Not yet shipped"" I meant what's happening here? Please advise?","@257159 I'm so sorry for the delay! We don't have access to your account or orders via Twitter. When you have a moment, reach us via phone or chat and we'll take a look at the order together in real-time: https://t.co/hApLpMlfHN If we can still help, let us know! ^KN",delivery,Acceptable,ESCALATE,Shipment shows not yet shipped and requires investigation.,delivery,0.2672,ESCALATE,Historical similarity is below safety threshold; Retrieved historical reply is incomplete or unsafe,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,We'd like to take a closer look into this with you. Please call or chat with us here:,2287320
812366,Dann wende ich mich mal an den :3 vielen Dank,@313577 Aber gerne doch! :-) ^AK,other,Good,AUTO_HANDLE,Customer simply thanks/supports the previous response.,other,0.5906,ESCALATE,Intent is unclear or sensitive; Retrieved historical reply is incomplete or unsafe,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Gerne 😊👍,1171372
64007,Thanks for your kind support. Item reached the destination,@130697 You're most welcome. We're glad to know that the package was rightly delivered. Appreciate your cooperation while we worked on this for you. ^EM,delivery,Good,AUTO_HANDLE,Customer confirms successful delivery.,customer_service,0.4404,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold; Customer message is too short or vague,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,It was our pleasure! Please let us know if you have any further questions.,2205253
1350017,"@115830 Hey, now me, my wife and my friend have all had the same thing done. We ordered, you took the money, then said the card was declined, we have to add more money to the card and then it works. Why are you authorising it and then not taking it??","@434819 I'm sorry for the frustration. We'll authorise the gift card for $1.00 when the order is placed. To ensure the order can be charged when it's shipped, make sure your order total is at least $1.00 less than the total value of the gift card. ^MB",refund_payment,Acceptable,ESCALATE,Customer reports payment authorization/card decline issue.,order,0.239,ESCALATE,Historical similarity is below safety threshold; Intent mismatch with historical example,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Please get in touch with us directly so we can help:,2848946
951966,"Really disappointed in @115821 ""prime"" shipping. It appears to mean ""maybe 2 days, maybe a week"" whatever the website said.",@345836 I'm so sorry for the delay! Who is the carrier? Does their site show more detail into what happened? ^AM,prime,Acceptable,ESCALATE,Complaint specifically concerns Prime shipping expectations.,delivery,0.2229,ESCALATE,Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"We're here to help! Have we missed an expected delivery date on an order? Please, check: and let us know.",83346
923917,J etais une bonne cliente j achetais tres regulierement mais la c est trop,@339250 Je suis navrée pour le souci. Est-ce que le lisseur est expédié par Amazon ou par un vendeur tiers? ^SM,customer_service,Poor,ESCALATE,Customer expresses dissatisfaction without a specific issue.,other,0.2466,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"Bonjour Alexandre, je suis désolée pour le retard. L'avez-vous signalé à notre SAV ?",1480437
1632475,Customer service was not sure that it would be and I'm responsible for follow up,@499531 Who's the carrier assigned to the delivery: https://t.co/Y5jpI9gRhE? ^AB,customer_service,Poor,ESCALATE,Customer complains about lack of clear support/resolution.,customer_service,0.2444,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,That's good to hear! We appreciate you.,2306486
2385481,I'll try it out thanks,@687525 Great 😁 You two have a nice weekend. Take care ^CR,other,Good,AUTO_HANDLE,Customer acknowledges the response positively.,other,0.4103,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold; Customer message is too short or vague,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,You are very welcome! Please let us know if you need any further assistance! We've got your back. 😊,561738
789697,Frgt abt email today is day4 where the hell is my stupid order oh god m tired n frustrated with you all @115821,@297517 Could you please check and confirm if you've received any correspondence from our side here: https://t.co/NTkrxpsbHJ ? ^AB,other,Poor,ESCALATE,Customer is frustrated because an order has not arrived.,order,0.2172,ESCALATE,Historical similarity is below safety threshold; Retrieved historical reply is incomplete or unsafe,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,We have responded to this query here: . Kindly check.,2538179
577774,why are you making false commitment again and again now you have given new time not date for delivering. you have not already fulfill your yesterday commitment how can i trust you ????????? i think am i not talking to brand like amazon . i have attached both the screenshot https://t.co/Xui3BOaDFB,"@227488 Please don't provide your order details, we consider it to be personal information. Our page is visible to the public. 2/2 ^BV",delivery,Poor,ESCALATE,Customer reports repeated missed delivery commitments.,other,0.2211,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold; Intent mismatch with historical example; Retrieved historical reply is incomplete or unsafe,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,That's not right! Please have this reported to our support team here: for immediate assistance.,1488350
1278084,"Livraison en point Relais. La seule solution proposé par votre support étant le remboursement, après autant d'attente. Impressionnant!!!",@419100 Navrée pour cela. S'agit-il d'un article vendu par Amazon ou par un vendeur tiers s'il vous plaît? ^SA,refund_payment,Poor,ESCALATE,Customer reports delivery issue where refund was offered after waiting.,other,0.3954,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,S'agit-il d'un article expédié par Amazon ou bien par un vendeur tiers ?,74665
2478819,Réalisé hier ds la foulée de notre échange 🤔,"@696270 Nous n'avons rien reçu, pourriez-vous le remplir à nouveau je vous prie. ^BR",customer_service,Acceptable,ESCALATE,Customer refers to an action already completed and needs support follow-up.,other,0.2676,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"Je vous comprends, mais les vendeurs Marketplace peuvent fixer les prix de leurs articles ainsi que les frais de livraison.",2761724
1223169,Necesito Ayuda! Por bloqueo de cuenta!,"@407004 Hola, lamento saber que se presentó este inconveniente. ¿Has recibido un correo con instrucciones para recuperar tu cuenta? ^DA",account_login,Good,ESCALATE,Customer needs help because their account is blocked.,other,0.3558,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"Ernesto, gracias por la aclaración. En ese caso, es mejor que te pongas en contacto con los compañeros de Servicio al Cliente mediante este enlace:",2663989
322628,@115850 I am really disappointed with your services. i will not buy and will not recommend for my friends and family as i lost trust onyourService,@191896 I'm sorry for any trouble. Could you please elaborate so that we can assist you accordingly in the best possible way? ^RW,customer_service,Poor,ESCALATE,Strong general complaint about Amazon service.,other,0.2018,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold; Intent mismatch with historical example,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"Hi Raghad! Sorry about your unknown charge. Which website do you have an account with .com, co.uk, .in, etc?",499946
105080,Hatte bereits am Mittwoch ein Gespräch... keiner konnte mir bisher sagen warum ich (Prime Kunde) etwas per premiumversand bestelle das per Post rausgeht und nicht als kleines Priorität Päckchen versendet wird,"@139214 Damit du deine Lieferung noch bekommst, melde dich bitte über den Link. Liebe Grüße ^TA",prime,Acceptable,ESCALATE,Prime customer questions premium shipping/delivery handling.,prime,0.2586,ESCALATE,Historical similarity is below safety threshold; Intent mismatch with historical example,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"Es ist natürlich nicht schön, wenn ein Artikel später versandt wird als gedacht, allerdings kann er in manchen Fällen trotzdem noch pünktlich ankommen. Was wurde dir denn für ein Lieferdatum genannt? Lieben Gruß",2289378
2302219,I have an item that still hasn't arrived. It was due on 10/21. The item shows that it still hasn't arrived but the only option I see on the site is to return it. I can't return something I haven't received.,@606425 I'm sorry you haven't received your item yet. Was the item shipped by Amazon or one of the sellers on our site: https://t.co/Y5jpI9gRhE ? ^JF,delivery,Acceptable,ESCALATE,Item has not arrived despite being past its delivery date.,return,0.3188,ESCALATE,Historical similarity is below safety threshold; Intent mismatch with historical example; Retrieved historical reply is incomplete or unsafe,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"Thank you for the update, and your patience. Please phone or chat with us to discuss options for your order here:",158598
1763195,live chat failed and call back not appeared. Been waiting 3 months for refund for box of broken glass that was sold as a lamp,@530477 I'm very sorry for the frustration! We'd like to help! Could you tell us more details about what's going on? ^HM,customer_service,Acceptable,ESCALATE,Customer has an unresolved concern and needs more details/support.,refund_payment,0.2518,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold; Intent mismatch with historical example,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"After selecting ""Where's my stuff"" from the drop-down menu, please scroll down to select the chat option.",2107254
709986,"Entonces decidimos cada uno crear su cuenta y esta quedo bloqueada y en teoría borrada, pero hoy me ha llegado un cobro de 92 euros",@289771 Por favor contacta nuestro Servicio al Cliente en este enlace: https://t.co/lKuwEYa0UF  ^JJ,account_login,Poor,ESCALATE,Account was blocked/deleted but customer received an unexpected charge.,other,0.3521,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"Imma, estamos felices de escuchar eso, que lo disfrutes mucho.",1881675
481515,"Have done that already, but no response. Just started with #AmazonPrime and it doesn't look good.","@229455 Just to check, could you confirm whether you have an account with https://t.co/nUUp5MLhYl or Amazon.in? ^MD",prime,Acceptable,ESCALATE,Prime customer has already contacted support but has not received a response.,other,0.4262,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Upon checking I see that we haven't received your details yet. Kindly drop your details once again in the link shared earlier and we'll get in touch with you at the earliest.,80835
2987277,I am chatting with someone now on Amazon. I will reach back out to you if I can't get this resolved.,"@823677 Great, we will await your response. ^CR",customer_service,Good,AUTO_HANDLE,Customer is already receiving support and will follow up if unresolved.,other,0.2695,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Let us know! We are here to help!,494841
2676420,Only 1st month emi should be charged in my bill,@753302 I understand your concern. I request you to please contact the respective bank so that they can assist you better. ^BV,refund_payment,Acceptable,ESCALATE,Customer disputes the EMI amount charged to the bill,refund_payment,0.2712,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold; Retrieved historical reply is incomplete or unsafe,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Great news!,979389
2680330,"Ich denke nicht, dass es jetzt an den Feiertagen geliefert wird, oder? Hätte eig. gestern kommen sollen. :/ https://t.co/GsUhuaUSVG",@450790 Am Feiertag wird tatsächlich nicht zugestellt. Daher würde ich dich gerne bis morgen um Geduld bitten. Danke und Gruß ^NW,delivery,Acceptable,ESCALATE,Customer expected delivery yesterday and is concerned about holiday delay.,other,0.3573,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Wunderbar! Danke für deine Rückmeldung.,2485539
639621,Nope. It said they couldn’t locate my address despite living here 20 years and having other deliveries regularly. Fuming,"@271717 We'd like to look into this with you. Please reach us here, so we can look into our available options: https://t.co/JzP7hlA23B ^AG",delivery,Acceptable,ESCALATE,Delivery failed because the carrier could not locate the address.,other,0.2253,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold; Retrieved historical reply is incomplete or unsafe,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,"We'd like to take a closer look into this with you. When you have the chance, please ring us here:",1355416
2291500,But why I use a repaired phone i have paid full payment to you.,@665528 You have to escalate the concern with the manufacturer for the best resolution on it. ^RW,product_issue,Acceptable,ESCALATE,Customer received/was given a repaired phone despite paying full price.,refund_payment,0.2532,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold; Intent mismatch with historical example,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Could you let us know if there was an issue while paying for the order?,249977
535058,Yes for the fat lot of good it has done me!,@222196 What did we advise when you spoke to us?^PJ,customer_service,Poor,ESCALATE,Customer expresses dissatisfaction with the support outcome.,other,0.3318,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold; Customer message is too short or vague; Retrieved historical reply is incomplete or unsafe,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Sorry for the delay! We would be happy to take a look if you reach out to us here:,447171
1916363,Et un lancement est prévu un jour en France ?,@570801 Bonne question! Nous ne manquerons pas de remonter cela. ^ASZ,product_issue,Good,AUTO_HANDLE,Customer asks whether a product launch is planned in France.,other,0.5126,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,C'est parfait alors. Je vous invite donc à reprendre contact avec notre service pour demander le remboursement une fois que la commande sera expédiée.,2318165
1670667,my kindle app will no longer allow me to recommend the books I read. Is there a fix?,@508570 Sorry to hear Ronnie. Please get in touch - https://t.co/hApLpMlfHN a member of our digital team will be happy to help. ^TP,product_issue,Acceptable,ESCALATE,Customer reports a Kindle app functionality problem.,other,0.2708,ESCALATE,Intent is unclear or sensitive; Historical similarity is below safety threshold,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,I'm sorry to hear the reading progress isn't showing anymore! Please try this:,2587904
