tweet_id,customer_message,agent_reply,human_reply_quality,llm_judge_quality
105080,Hatte bereits am Mittwoch ein Gespräch... keiner konnte mir bisher sagen warum ich (Prime Kunde) etwas per premiumversand bestelle das per Post rausgeht und nicht als kleines Priorität Päckchen versendet wird,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Poor
2302219,I have an item that still hasn't arrived. It was due on 10/21. The item shows that it still hasn't arrived but the only option I see on the site is to return it. I can't return something I haven't received.,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Poor
1763195,live chat failed and call back not appeared. Been waiting 3 months for refund for box of broken glass that was sold as a lamp,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Poor
709986,"Entonces decidimos cada uno crear su cuenta y esta quedo bloqueada y en teoría borrada, pero hoy me ha llegado un cobro de 92 euros",Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Poor,Poor
481515,"Have done that already, but no response. Just started with #AmazonPrime and it doesn't look good.",Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Poor
2987277,I am chatting with someone now on Amazon. I will reach back out to you if I can't get this resolved.,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Good,Good
2676420,Only 1st month emi should be charged in my bill,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Poor
2680330,"Ich denke nicht, dass es jetzt an den Feiertagen geliefert wird, oder? Hätte eig. gestern kommen sollen. :/ https://t.co/GsUhuaUSVG",Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Poor
639621,Nope. It said they couldn’t locate my address despite living here 20 years and having other deliveries regularly. Fuming,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Poor
2291500,But why I use a repaired phone i have paid full payment to you.,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Acceptable,Poor
535058,Yes for the fat lot of good it has done me!,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Poor,Good
1916363,Et un lancement est prévu un jour en France ?,Thank you for contacting AmazonHelp. Your request needs further assistance from our support team. A support agent will review your issue and help you shortly.,Good,Good
